date,NAO,ENSO,v,Z_an,VPD_an,SKT_an,TP_an,SM_an,BA
1/1/2011,-1.53,3.8,-0.459823179,-334.2815,-0.46733236,-0.6781944,8.640915,0.007509184,0.7517674
1/9/2011,-1.53,3.8,-3.345142785,-198.63266,-0.28749278,-0.93360126,3.6325536,0.008579221,0.87514246
1/17/2011,-1.53,3.8,-4.457265872,-343.79736,0.14251903,-0.7926785,-3.935611,0.004611731,2.9141798
1/25/2011,-1.53,3.8,2.609441265,-84.52794,-0.013852958,-0.039448254,6.0493298,0.005513034,3.912096
2/2/2011,0.35,4.5,0.955220749,155.96407,-0.21152566,0.48035806,6.6734896,0.00416,29.250881
2/10/2011,0.35,4.5,3.359414719,-158.54321,-0.1071522,0.107955195,4.6201463,0.006068961,23.02432
2/18/2011,0.35,4.5,1.448409471,-292.0282,-0.7658294,-1.0906364,1.5403359,0.013612909,33.017334
2/26/2011,0.35,4.5,0.800878242,-363.98093,-0.96409655,-1.0345926,2.821263,0.01910165,76.42087
3/6/2011,0.24,4.2,4.763473554,152.90479,0.30459523,-0.40863052,1.6386114,0.021172376,48.68596
3/14/2011,0.24,4.2,-3.928909258,269.70337,-0.04623695,-0.6789278,5.4063587,0.018003806,48.443108
3/22/2011,0.24,4.2,2.142316145,-10.952617,-0.20028041,-0.7294739,6.6942835,0.009727554,30.352835
3/30/2011,0.24,4.2,-1.230599564,-116.72176,-0.32207617,-1.0107381,-2.5207012,0.005758723,40.39828
4/7/2011,2.55,3.1,-1.132485907,-31.943865,-0.9644112,-0.6505499,-1.5479438,0.000110838,22.615984
4/15/2011,2.55,3.1,3.310619683,-156.39955,-0.9429196,-0.3493066,3.20092,0.002088758,20.096125
4/23/2011,2.55,3.1,0.21808711,24.995268,-0.77309597,-0.47180575,8.903587,0.00474858,5.4960775
5/1/2011,-0.01,0.6,1.725994484,59.33138,-0.3503993,-0.025742142,3.0470865,0.002749706,11.667414
5/9/2011,-0.01,0.6,-0.298760408,-93.78223,0.7248301,0.1567859,-10.912258,0.000658346,4.380577
5/17/2011,-0.01,0.6,-0.119432989,393.7521,0.11111304,0.16211444,-9.389949,-0.005915375,0.47878924
5/25/2011,-0.01,0.6,1.236502933,53.294292,-1.1617736,0.06679353,9.510912,-0.00948133,1.2549522
6/2/2011,-0.98,0.4,-0.310564352,-97.74779,0.19666871,-0.26737648,6.199585,-0.012471793,1.3638377
6/10/2011,-0.98,0.4,-0.829421407,-138.47478,-0.2170598,-0.1427947,0.26677543,-0.017244829,0.5548646
6/18/2011,-0.98,0.4,-1.842897906,-23.357018,-0.20590854,-0.14313081,-10.187788,-0.015999444,0.16844614
6/26/2011,-0.98,0.4,-1.176314282,-24.800148,-0.5461092,-0.39676657,-1.0375885,-0.017488098,0.20080177
7/4/2011,-1.48,1.6,0.07521646,87.15442,-0.3145944,-0.19478475,-3.1890447,-0.015355166,0.14860205
7/12/2011,-1.48,1.6,-0.577630254,-37.770596,-0.34697518,-0.32491526,10.313625,-0.012291539,0.031097563
7/20/2011,-1.48,1.6,-0.313453969,-133.89279,-0.13541543,0.02387917,1.3194536,-0.009350116,0.35870585
7/28/2011,-1.48,1.6,0.169206854,-35.22842,0.2565519,-0.026772238,3.0467482,-0.005586248,0.5073825
8/5/2011,-1.85,0.7,-0.60669575,33.334976,0.14190145,-0.009042565,5.5142245,-0.001981341,0.64061373
8/13/2011,-1.85,0.7,1.254742893,-199.06361,-0.5887697,-0.2987174,9.706724,0.00330393,0.38362324
8/21/2011,-1.85,0.7,-0.319601833,127.776024,-0.13012676,0.076765366,9.890139,0.009299316,0.5503746
8/29/2011,-1.85,0.7,1.751722931,-36.48786,-0.87202704,0.038931187,18.385332,0.013606906,0.23901153
9/6/2011,0.67,1.7,-0.997666659,-17.7627,-0.75757945,-0.11402379,11.87463,0.0213924,0.23608176
